year,month,station,sea_surface_height
1992,1,Halifax,1.1
1992,2,Halifax,1.1
1992,3,Halifax,1
1992,4,Halifax,0.9
1992,5,Halifax,0.9
1992,6,Halifax,1
1992,7,Halifax,1
1992,8,Halifax,0.9
1992,9,Halifax,0.9
1992,10,Halifax,1
1992,11,Halifax,1
1992,12,Halifax,1
1993,1,Halifax,1
1993,2,Halifax,1
1993,3,Halifax,1
1993,4,Halifax,1
1993,5,Halifax,1
1993,8,Halifax,1
1993,9,Halifax,1
1993,10,Halifax,1
1993,11,Halifax,1
1993,12,Halifax,1.1
1994,1,Halifax,1
1994,2,Halifax,1
1994,3,Halifax,1
1994,4,Halifax,0.9
1994,5,Halifax,1
1994,6,Halifax,0.9
1994,7,Halifax,1
1994,8,Halifax,1
1994,9,Halifax,1
1994,10,Halifax,1
1994,11,Halifax,1
1994,12,Halifax,1
1995,1,Halifax,1
1995,2,Halifax,1
1995,3,Halifax,1
1995,4,Halifax,1
1995,5,Halifax,1
1995,6,Halifax,0.9
1995,7,Halifax,1
1995,8,Halifax,1
1995,9,Halifax,1
1995,10,Halifax,1
1995,11,Halifax,1.1
1995,12,Halifax,1.2
1996,1,Halifax,1.1
1996,2,Halifax,1
1996,3,Halifax,1
1996,4,Halifax,1.1
1996,5,Halifax,1
1996,6,Halifax,1
1996,7,Halifax,1
1996,8,Halifax,1
1996,9,Halifax,1.2
1996,10,Halifax,1.1
1996,11,Halifax,1.1
1996,12,Halifax,1.1
1997,1,Halifax,1.1
1997,2,Halifax,1
1997,3,Halifax,1.1
1997,4,Halifax,1.1
1997,5,Halifax,1
1997,6,Halifax,1
1997,7,Halifax,1
1997,8,Halifax,1
1997,9,Halifax,1
1997,10,Halifax,1.1
1997,11,Halifax,1.1
1997,12,Halifax,1.2
1998,1,Halifax,1.1
1998,2,Halifax,1.1
1998,3,Halifax,1
1998,4,Halifax,1.1
1998,5,Halifax,1
1998,6,Halifax,1
1998,7,Halifax,1
1998,8,Halifax,1
1998,9,Halifax,1.1
1998,10,Halifax,1.1
1998,11,Halifax,1.1
1998,12,Halifax,1
1999,1,Halifax,1
1999,2,Halifax,1.1
1999,3,Halifax,1
1999,4,Halifax,1.1
1999,5,Halifax,1
1999,6,Halifax,0.9
1999,7,Halifax,1
1999,8,Halifax,1
1999,9,Halifax,1
1999,10,Halifax,1
1999,11,Halifax,1
1999,12,Halifax,1.1
2000,1,Halifax,1.1
2000,2,Halifax,1
2000,3,Halifax,1
2000,4,Halifax,1
2000,5,Halifax,1
2000,6,Halifax,1
2000,7,Halifax,1
2000,8,Halifax,1
2000,9,Halifax,1
2000,10,Halifax,1.1
2000,11,Halifax,1.2
2000,12,Halifax,1.1
2001,2,Halifax,0.9
2001,3,Halifax,1
2001,4,Halifax,1
2001,5,Halifax,1
2001,6,Halifax,1
2001,7,Halifax,1
2001,8,Halifax,1
2001,9,Halifax,1
2001,10,Halifax,1
2001,11,Halifax,1.1
2001,12,Halifax,1.1
2002,1,Halifax,1.1
2002,2,Halifax,1.1
2002,3,Halifax,0.9
2002,4,Halifax,1
2002,5,Halifax,1
2002,6,Halifax,1
2002,7,Halifax,1
2002,8,Halifax,0.9
2002,9,Halifax,1
2002,10,Halifax,1
2002,11,Halifax,1
2002,12,Halifax,1.1
2003,1,Halifax,1.1
2003,2,Halifax,1
2003,3,Halifax,1
2003,4,Halifax,1
2003,5,Halifax,1
2003,6,Halifax,1
2003,7,Halifax,1
2003,8,Halifax,1
2003,9,Halifax,1
2004,2,Halifax,1.1
2004,3,Halifax,1
2004,4,Halifax,1
2004,5,Halifax,1
2004,6,Halifax,1.1
2004,7,Halifax,1
2004,8,Halifax,1
2004,10,Halifax,1.1
2004,11,Halifax,1.1
2004,12,Halifax,1.1
2005,1,Halifax,1.1
2005,2,Halifax,1
2005,3,Halifax,1.1
2005,4,Halifax,1.1
2005,5,Halifax,1.1
2005,6,Halifax,1
2005,7,Halifax,1
2005,8,Halifax,1
2005,9,Halifax,1
2005,10,Halifax,1.1
2005,11,Halifax,1.1
2005,12,Halifax,1.1
2006,1,Halifax,1.1
2006,2,Halifax,1.1
2006,3,Halifax,1.1
2006,4,Halifax,1.1
2006,7,Halifax,1
2006,8,Halifax,1
2006,9,Halifax,1.1
2006,10,Halifax,1.1
2006,11,Halifax,1
2006,12,Halifax,1.1
2007,1,Halifax,1.1
2007,2,Halifax,1.1
2007,3,Halifax,1
2007,4,Halifax,1
2007,5,Halifax,1
2007,6,Halifax,1.1
2007,7,Halifax,1
2007,8,Halifax,1
2007,9,Halifax,1
2007,10,Halifax,1.1
2007,11,Halifax,1
2007,12,Halifax,1
2008,1,Halifax,1
2008,2,Halifax,1
2008,3,Halifax,1
